March 2026 - Trend,State,Value
Employed people,New South Wales,4559900.0
Employed people - monthly change,New South Wales,0.4
Employment to population ratio,New South Wales,63.6
Employment to population ratio - monthly change,New South Wales,0.2
Unemployment rate,New South Wales,4.2
Unemployment rate - monthly change,New South Wales,0.0
Underemployment rate,New South Wales,5.7
Underemployment rate - monthly change,New South Wales,0.1
Participation rate,New South Wales,66.4
Participation rate - monthly change,New South Wales,0.2
Employed people,Victoria,3804600.0
Employed people - monthly change,Victoria,0.0
Employment to population ratio,Victoria,64.1
Employment to population ratio - monthly change,Victoria,-0.2
Unemployment rate,Victoria,4.7
Unemployment rate - monthly change,Victoria,0.0
Underemployment rate,Victoria,6.3
Underemployment rate - monthly change,Victoria,-0.1
Participation rate,Victoria,67.3
Participation rate - monthly change,Victoria,-0.1
Employed people,Queensland,3030300.0
Employed people - monthly change,Queensland,0.3
Employment to population ratio,Queensland,64.2
Employment to population ratio - monthly change,Queensland,0.1
Unemployment rate,Queensland,4.0
Unemployment rate - monthly change,Queensland,0.0
Underemployment rate,Queensland,6.0
Underemployment rate - monthly change,Queensland,0.0
Participation rate,Queensland,66.9
Participation rate - monthly change,Queensland,0.0
Employed people,South Australia,996200.0
Employed people - monthly change,South Australia,0.0
Employment to population ratio,South Australia,62.0
Employment to population ratio - monthly change,South Australia,-0.1
Unemployment rate,South Australia,3.9
Unemployment rate - monthly change,South Australia,0.0
Underemployment rate,South Australia,6.3
Underemployment rate - monthly change,South Australia,0.1
Participation rate,South Australia,64.5
Participation rate - monthly change,South Australia,-0.1
Employed people,Western Australia,1680000.0
Employed people - monthly change,Western Australia,0.4
Employment to population ratio,Western Australia,66.0
Employment to population ratio - monthly change,Western Australia,0.1
Unemployment rate,Western Australia,4.1
Unemployment rate - monthly change,Western Australia,0.0
Underemployment rate,Western Australia,5.4
Underemployment rate - monthly change,Western Australia,0.1
Participation rate,Western Australia,68.8
Participation rate - monthly change,Western Australia,0.1
Employed people,Tasmania,280600.0
Employed people - monthly change,Tasmania,-0.1
Employment to population ratio,Tasmania,57.7
Employment to population ratio - monthly change,Tasmania,-0.1
Unemployment rate,Tasmania,4.6
Unemployment rate - monthly change,Tasmania,0.0
Underemployment rate,Tasmania,7.5
Underemployment rate - monthly change,Tasmania,0.0
Participation rate,Tasmania,60.4
Participation rate - monthly change,Tasmania,0.0
Employed people,Northern Territory,146300.0
Employed people - monthly change,Northern Territory,0.3
Employment to population ratio,Northern Territory,69.8
Employment to population ratio - monthly change,Northern Territory,0.1
Unemployment rate,Northern Territory,4.6
Unemployment rate - monthly change,Northern Territory,0.0
Underemployment rate,Northern Territory,3.8
Underemployment rate - monthly change,Northern Territory,0.0
Participation rate,Northern Territory,73.1
Participation rate - monthly change,Northern Territory,0.1
Employed people,Australian Capital Territory,277800.0
Employed people - monthly change,Australian Capital Territory,0.5
Employment to population ratio,Australian Capital Territory,69.4
Employment to population ratio - monthly change,Australian Capital Territory,0.2
Unemployment rate,Australian Capital Territory,4.0
Unemployment rate - monthly change,Australian Capital Territory,0.0
Underemployment rate,Australian Capital Territory,4.7
Underemployment rate - monthly change,Australian Capital Territory,0.1
Participation rate,Australian Capital Territory,72.3
Participation rate - monthly change,Australian Capital Territory,0.2

