filename,filesize,modtime,video_codec,video_quality,width,height,us_frame_rate,duration,video bitrate,audio_codec,bitrate,num_audio_channels,total bitrate
C:\Users\maxac\Videos\badclip.mov,0,2025-02-11T08:56:11.003459
C:\Users\maxac\Videos\DSC_0632.MP4,905762452,2023-04-07T23:57:28.760000,h264,High,1920,1080,50.0,145.920000,49344540,aac,256000,2,49600540
C:\Users\maxac\Videos\Recording 2024-04-16 114845.mp4,13495889,2024-04-16T11:47:51.464802,h264,Main,1166,808,30.0,26.966633,3808136,aac,192022,2,4000158
C:\Users\maxac\Videos\vizy_wingspan-25-remix_horizontal_2td70rp.mp4,274661245,2025-02-03T20:59:16.530668,h264,High,1920,1080,30.0,214.000000,9941849,aac,316726,2,10258575
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-07-11 181345.mp4,10212607,2024-07-11T18:13:45.550161,h264,Main,1920,1142,30.0,9.666633,8255574,aac,192000,2,8447574
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-07-11 181510.mp4,4939990,2024-07-11T18:15:10.394098,h264,Main,1132,858,30.0,10.200000,3677863,aac,192000,2,3869863
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-08-21 162845.mp4,2724953,2024-08-21T16:28:45.235085,h264,Main,1918,1194,30.0,3.200000,6611727,aac,192001,2,6803728
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-08-21 162938.mp4,24453353,2024-08-21T16:29:38.875200,h264,Main,1920,1200,30.0,20.800000,9209668,aac,192166,2,9401834
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-09-01 100100.mp4,18964248,2024-09-01T10:01:00.595479,h264,Main,1918,1200,30.0,16.366633,9074360,aac,192000,2,9266360
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-10-13 132520.mp4,2562398,2024-10-13T13:25:20.370347,h264,Main,1530,734,30.0,5.133300,3795326,aac,192000,2,3987326
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-10-13 132642.mp4,15795457,2024-10-13T13:26:42.021942,h264,Main,1530,744,30.0,26.366633,4596838,aac,192095,2,4788933
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-10-19 205012.mp4,14627034,2024-10-19T20:50:12.437008,h264,Main,1144,866,30.0,27.833300,4009300,aac,192000,2,4201300
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-12-07 221335.mp4,2862167,2024-12-07T22:13:35.631895,h264,Main,1920,1086,30.0,3.533300,6276358,aac,192001,2,6468359
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2024-12-07 221429.mp4,15803919,2024-12-07T22:14:29.541759,h264,Main,1920,1024,30.0,15.933300,7737646,aac,192000,2,7929646
C:\Users\maxac\Videos\Screen Recordings\Screen Recording 2025-03-02 130733.mp4,32151512,2025-03-02T13:07:33.166581,h264,Main,1540,824,30.0,47.533300,5216076,aac,192000,2,5408076
